,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
163,950928.0,gen. Władysława Sikorskiego,2,47.31,6,23,Do odświeżenia,True,False,1969.0
164,861100.0,Konińska,4,76.09,3,4,Do odświeżenia,True,True,1969.0
165,733900.0,Gajowa,3,52.67,2,8,Do remontu,True,True,1969.0
166,528999.0,Zamkowa,2,38.1,1,3,Gotowe do wprowadzenia,True,True,1969.0
167,1414920.0,gen. Władysława Sikorskiego,4,72.19,6,23,Do odświeżenia,True,False,1969.0
168,917859.76,Zielna,3,75.38,4,4,Do odświeżenia,True,True,1969.0
169,754000.0,Gajowa,4,60.0,2,2,Do odświeżenia,True,True,1969.0
170,480000.0,Gajowa,2,34.34,4,4,Gotowe do wprowadzenia,True,True,1969.0
171,808146.0,Konińska,3,70.21,2,4,Do odświeżenia,True,True,1969.0
172,900000.0,Gajowa,3,67.42,4,4,Gotowe do wprowadzenia,False,True,1969.0
173,646325.0,Gajowa,2,45.25,1,8,Do remontu,True,True,1969.0
174,1397960.0,gen. Władysława Sikorskiego,4,72.06,5,23,Do odświeżenia,True,False,1969.0
175,718000.0,Zielna,2,38.0,2,3,Do odświeżenia,True,True,1969.0
176,489000.0,Gajowa,1,28.0,0,10,Gotowe do wprowadzenia,False,False,1969.0
177,715000.0,Ignacego Mościckiego,2,53.33,0,3,Gotowe do wprowadzenia,True,False,1969.0
178,670000.0,Wełniana,3,54.29,4,7,Do remontu,True,False,1969.0
179,862553.0,gen. Władysława Sikorskiego,2,45.16,4,23,Do odświeżenia,True,False,1969.0
180,750000.0,Gajowa,3,64.84,3,4,Do odświeżenia,False,False,1969.0
181,873000.0,Gajowa,4,68.0,0,2,Do odświeżenia,True,True,1969.0
182,663000.0,Królewiecka,2,50.8,0,2,Do remontu,True,True,1969.0
183,476660.0,Nefrytowa,1,40.82,1,2,Do remontu,True,True,1969.0
184,521258.0,Nefrytowa,2,43.84,1,2,Do remontu,True,True,1969.0
185,450000.0,Powstańców Śląskich,1,32.0,1,2,Gotowe do wprowadzenia,False,False,1969.0
186,625000.0,Orzechowa,3,65.8,3,10,Do remontu,True,False,1969.0
187,490285.0,Nefrytowa,1,39.12,2,2,Do remontu,True,True,1969.0
188,1859000.0,Gajowa,1,193.43,1,1,Gotowe do wprowadzenia,False,True,1969.0
189,775000.0,Gajowa,4,60.0,2,2,Do odświeżenia,True,True,1969.0
190,620075.0,Kominiarska,3,60.26,2,2,Do odświeżenia,True,True,1969.0
191,699000.0,Chałupnicza,3,48.5,1,5,Gotowe do wprowadzenia,True,True,1969.0
192,553000.0,Gwarna,3,45.2,3,4,Do remontu,False,False,1969.0
193,549000.0,Gajowa,3,55.0,10,10,Do odświeżenia,True,False,1969.0
194,1190000.0,Zielna,4,67.0,1,3,Do odświeżenia,True,True,1969.0
195,429999.0,Szybka,1,34.0,3,7,Do remontu,False,False,1969.0
196,479000.0,Tadeusza Kościuszki,2,47.0,1,5,Do remontu,False,False,1969.0
197,498550.0,Kominiarska,2,42.25,2,2,Do odświeżenia,True,True,1969.0
198,718000.0,Zielna,2,38.0,2,3,Do odświeżenia,True,False,1969.0
199,489000.0,Woskowa,3,49.7,1,1,Do remontu,True,True,1969.0
200,2090000.0,Zamkowa,4,110.0,3,4,Gotowe do wprowadzenia,False,True,1969.0
201,760000.0,Gorlicka,3,72.22,1,2,Do remontu,True,False,1969.0
202,969999.0,Jerzego Bajana,4,87.0,5,8,Gotowe do wprowadzenia,True,False,1969.0
203,502000.0,Gajowa,2,41.0,0,2,Do odświeżenia,True,True,1969.0
204,1090000.0,Zielna,3,73.2,0,3,Do remontu,True,False,1969.0
205,548000.0,Promenada,3,47.73,7,10,Gotowe do wprowadzenia,True,False,1969.0
206,859999.0,Stanisława Leszczyńskiego,3,52.0,3,3,Gotowe do wprowadzenia,False,False,1969.0
207,521138.0,Nefrytowa,2,43.84,1,2,Do remontu,True,True,1969.0
208,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969.0
209,713300.0,Kleczkowska,2,52.87,1,9,Gotowe do wprowadzenia,True,False,1969.0
210,749000.0,Grabiszyńska,3,53.0,1,7,Gotowe do wprowadzenia,True,False,1969.0
211,590000.0,Rudzka,3,53.0,0,3,Do remontu,False,True,1969.0
212,610000.0,Woskowa,4,60.25,0,0,Do remontu,True,True,1969.0
213,469000.0,Ignacego Mościckiego,3,58.2,1,1,Do remontu,True,True,1969.0
214,453000.0,Woskowa,3,45.91,1,1,Do remontu,True,True,1969.0
215,607000.0,Zielna,2,53.0,0,2,Do odświeżenia,True,True,1969.0
216,488400.0,Woskowa,3,49.1,1,1,Do remontu,True,True,1969.0
217,329000.0,Ignacego Mościckiego,2,36.5,1,1,Do remontu,True,True,1969.0
218,890000.0,Jurija Gagarina,3,63.47,0,0,Gotowe do wprowadzenia,True,True,1969.0
219,829000.0,Rudzka,3,59.0,4,4,Do odświeżenia,True,True,1969.0
220,590000.0,Zamkowa,1,30.0,6,8,Do remontu,True,False,1969.0
221,560000.0,Ignacego Mościckiego,4,67.5,0,0,Do remontu,True,True,1969.0
222,920000.0,Gajowa,4,75.0,1,4,Do odświeżenia,True,True,1969.0
223,725000.0,Kossaka,2,41.0,2,6,Do remontu,True,False,1969.0
224,680000.0,Krzycka,3,64.0,9,11,Do remontu,True,False,1969.0
225,673000.0,Przyjaźni,2,48.27,1,4,Gotowe do wprowadzenia,True,True,1969.0
226,1149000.0,Zamkowa,3,71.0,6,6,Gotowe do wprowadzenia,False,False,1969.0
227,1199000.0,Uniwersytecka,4,88.01,3,4,Do remontu,False,False,1969.0
228,919000.0,Rudzka,4,67.0,4,4,Do odświeżenia,True,True,1969.0
229,1018000.0,Gajowa,4,78.0,0,4,Do odświeżenia,True,True,1969.0
230,570000.0,Honoriusza Balzaka,2,42.7,0,2,Do remontu,False,False,1969.0
231,520000.0,Łódzka,3,54.77,4,4,Do remontu,False,False,1969.0
232,380000.0,Woskowa,2,33.0,0,0,Do remontu,True,True,1969.0
233,619900.0,Rudzka,5,90.0,4,4,Do odświeżenia,True,True,1969.0
234,479000.0,Tadeusza Kościuszki,2,47.0,1,5,Do remontu,False,False,1969.0
235,718000.0,Zielna,2,38.0,2,3,Do odświeżenia,True,True,1969.0
236,679000.0,Kłodzka,3,63.2,3,3,Do remontu,True,False,1969.0
237,199000.0,Kossaka,1,16.5,4,4,Do remontu,False,False,1969.0
238,414700.0,Zielna,2,31.9,4,4,Do odświeżenia,True,True,1969.0
239,820000.0,Sołtysowicka,4,73.0,3,5,Do remontu,True,True,1969.0
240,1150000.0,Blacharska,3,65.0,3,3,Do remontu,True,True,1969.0
241,1289998.0,Władysława Reymonta,4,82.52,8,8,Do remontu,True,True,1969.0
242,539000.0,Woskowa,3,52.7,0,0,Do remontu,True,True,1969.0
243,661500.0,Walońska,1,26.46,4,9,Do remontu,True,True,1969.0
244,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969.0
245,815000.0,Obornicka,3,68.0,5,6,Do remontu,True,False,1969.0
246,1690000.0,Księcia Witolda,3,68.22,2,6,Do remontu,True,True,1969.0
247,1150000.0,Marca Polo,3,70.0,1,4,Gotowe do wprowadzenia,True,True,1969.0
248,799000.0,Tadeusza Kościuszki,3,51.8,3,4,Gotowe do wprowadzenia,False,False,1969.0
249,815000.0,Rybacka,2,54.0,4,4,Do remontu,True,True,1969.0
250,535000.0,Kossaka,2,51.0,4,5,Gotowe do wprowadzenia,False,False,1969.0
251,1050000.0,Kossaka,2,64.29,6,6,Do remontu,True,True,1969.0
252,415000.0,Woskowa,2,39.5,1,1,Do remontu,True,True,1969.0
253,1150000.0,Norberta Barlickiego,4,100.95,0,5,Do remontu,False,False,1969.0
254,499000.0,Grabiszyńska,2,36.0,8,8,Do remontu,False,False,1969.0
255,1190000.0,Zielna,4,67.0,1,3,Do odświeżenia,True,True,1969.0
256,632500.0,Racławicka,2,46.0,1,4,Gotowe do wprowadzenia,True,True,1969.0
257,429000.0,Królewiecka,1,33.24,2,3,Gotowe do wprowadzenia,False,True,1969.0
258,799000.0,Gliniana,3,64.0,2,3,Do remontu,False,False,1969.0
259,494985.0,Gajowa,2,41.1,2,2,Gotowe do wprowadzenia,True,True,1969.0
260,1300000.0,Opolska,4,119.0,5,5,Gotowe do wprowadzenia,True,True,1969.0
261,965900.0,ks. Konstantego Damrota,4,74.0,4,7,Do remontu,True,True,1969.0
262,637938.0,Konińska,3,52.08,4,4,Do odświeżenia,True,True,1969.0
263,1500000.0,Ludwika Solskiego,3,187.4,1,2,Gotowe do wprowadzenia,True,False,1969.0
264,755000.0,Sołtysowicka,3,61.0,3,5,Do remontu,True,True,1969.0
265,824000.0,Zagony,3,75.5,1,2,Gotowe do wprowadzenia,True,False,1969.0
266,525000.0,Leopolda Tyrmanda,1,37.0,2,4,Do remontu,True,False,1969.0
267,697500.0,Grabiszyńska 230B,3,53.9,0,4,Gotowe do wprowadzenia,False,False,1969.0
268,1250000.0,Kossaka,3,95.0,0,3,Do odświeżenia,True,True,1969.0
269,990000.0,Stabłowicka,4,77.6,0,1,Gotowe do wprowadzenia,True,False,1969.0
270,673000.0,Kossaka,2,41.0,1,6,Do odświeżenia,True,True,1969.0
271,1350000.0,Kossaka,5,119.28,5,5,Gotowe do wprowadzenia,True,False,1969.0
272,689990.0,Gajowa,2,47.9,2,3,Gotowe do wprowadzenia,True,True,1969.0
273,755000.0,Zemska,3,62.1,2,8,Gotowe do wprowadzenia,True,True,1969.0
274,1299000.0,Bolesława Prusa,4,120.0,3,4,Do remontu,True,False,1969.0
275,570000.0,Poleska,2,51.77,6,8,Gotowe do wprowadzenia,True,True,1969.0
276,710000.0,Zatorska,3,66.0,3,4,Do remontu,True,True,1969.0
277,710000.0,Zatorska,3,66.0,3,4,Do remontu,True,True,1969.0
278,656598.0,Przyjaźni,2,40.53,4,8,Do remontu,False,False,1969.0
279,749000.0,Zamkowa,2,52.7,4,5,Do remontu,False,False,1969.0
280,618400.0,Daktylowa,3,56.27,1,4,Gotowe do wprowadzenia,True,False,1969.0
281,501600.0,Gajowa,2,37.3,2,2,Do remontu,True,False,1969.0
282,718000.0,Zielna,2,38.0,1,3,Do odświeżenia,False,True,1969.0
283,1285000.0,Kossaka,3,72.05,4,6,Do odświeżenia,True,True,1969.0
284,878800.0,Konińska,4,77.44,3,4,Do odświeżenia,True,True,1969.0
285,591084.0,Konińska,2,45.62,2,4,Do odświeżenia,True,True,1969.0
286,619000.0,Na Ostatnim Groszu,3,53.4,9,10,Gotowe do wprowadzenia,True,False,1969.0
287,525000.0,Rudzka,1,37.0,2,4,Gotowe do wprowadzenia,True,True,1969.0
288,1420000.0,Kossaka,4,91.0,1,1,Do remontu,True,False,1969.0
289,772905.0,Przyjaźni,3,56.08,0,8,Do remontu,False,False,1969.0
290,729900.0,Beaty Artemskiej,2,50.55,1,3,Gotowe do wprowadzenia,True,True,1969.0
291,968506.0,gen. Władysława Sikorskiego,3,52.11,5,23,Do remontu,False,False,1969.0
292,1581107.0,Asfaltowa,5,130.67,2,2,Do odświeżenia,True,True,1969.0
293,769897.0,Miernicza,2,60.67,4,4,Gotowe do wprowadzenia,False,False,1969.0
294,379000.0,Rudzka,1,26.2,4,4,Do remontu,True,False,1969.0
295,590000.0,Poleska,2,50.0,6,8,Gotowe do wprowadzenia,True,False,1969.0
296,1465664.0,Jedności Narodowej,4,110.24,6,8,Do remontu,True,True,1969.0
297,855600.0,Jedności Narodowej,3,64.57,1,5,Do remontu,True,True,1969.0
298,705550.0,Orawska,3,58.07,1,2,Do odświeżenia,True,True,1969.0
299,475000.0,Paniowicka,1,30.0,3,4,Gotowe do wprowadzenia,True,True,1969.0
300,799000.0,Gajowa,3,65.0,2,4,Gotowe do wprowadzenia,False,False,1969.0
301,1350000.0,Kossaka,3,78.34,2,3,Gotowe do wprowadzenia,True,False,1969.0
302,470000.0,Zachodnia,2,40.0,3,4,Do remontu,True,False,1969.0
303,839000.0,Zamkowa,2,49.9,3,3,Gotowe do wprowadzenia,False,False,1969.0
304,509000.0,Zamkowa,2,44.095,3,4,Do remontu,False,True,1969.0
305,653500.0,Zielna,2,50.91,0,4,Gotowe do wprowadzenia,True,True,1969.0
306,618350.0,Asfaltowa,2,41.5,1,2,Do odświeżenia,True,True,1969.0
307,855612.0,Jedności Narodowej,3,64.52,1,5,Do remontu,True,True,1969.0
308,523032.0,Ruczajowa,2,45.88,1,2,Do odświeżenia,True,False,1969.0
309,659000.04,Odolanowska,3,50.95,4,4,Do remontu,False,False,1969.0
310,595000.0,Macedońska,3,63.0,4,10,Do remontu,True,False,1969.0
311,740000.0,Jordanowska,4,65.2,1,3,Do remontu,True,True,1969.0
312,899000.0,Gajowa,3,86.0,0,3,Gotowe do wprowadzenia,True,False,1969.0
313,1397968.0,gen. Władysława Sikorskiego,4,72.12,5,23,Do remontu,False,False,1969.0
314,1087804.0,gen. Władysława Sikorskiego,2,44.44,10,23,Do remontu,False,False,1969.0
315,1465672.0,Jedności Narodowej,4,110.32,6,8,Do remontu,True,True,1969.0
316,780000.0,Daktylowa,3,62.0,1,4,Gotowe do wprowadzenia,True,False,1969.0
317,890000.0,Gajowa,3,74.5,2,3,Gotowe do wprowadzenia,True,True,1969.0
318,1099900.0,Osobowicka,3,98.0,3,3,Do remontu,True,False,1969.0
